"736","2017-03-15 14:25:05.855","AM.PA.MonitoringTool (Debugging) - Microsoft Visual Studio","devenv"
"737","2017-03-15 14:25:06.850","Goal Setting Dashboard","PersonalAnalytics.vshost"
"738","2017-03-15 14:25:08.874","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"739","2017-03-15 14:35:44.361","Goal Setting Dashboard","PersonalAnalytics.vshost"
"740","2017-03-15 14:36:21.768","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"741","2017-03-15 14:46:31.943","Goal Setting Dashboard","PersonalAnalytics.vshost"
"742","2017-03-15 14:47:14.101","","explorer"
"743","2017-03-15 14:47:14.290","","PersonalAnalytics.vshost"
"744","2017-03-15 14:47:16.672","PersonalAnalytics: Retrospection & Insights","PersonalAnalytics.vshost"
"745","2017-03-15 14:48:00.880","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"746","2017-03-15 14:52:40.484","Goal Setting Dashboard","PersonalAnalytics.vshost"
"747","2017-03-15 14:52:46.028","","explorer"
"748","2017-03-15 14:52:46.198","","PersonalAnalytics.vshost"
"749","2017-03-15 14:52:51.625","PersonalAnalytics: Retrospection & Insights","PersonalAnalytics.vshost"
"750","2017-03-15 14:53:09.376","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"751","2017-03-15 15:05:54.315","Goal Setting Dashboard","PersonalAnalytics.vshost"
"752","2017-03-15 15:06:02.738","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"753","2017-03-15 15:07:06.582","Goal Setting Dashboard","PersonalAnalytics.vshost"
"754","2017-03-15 15:07:11.924","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"755","2017-03-15 15:07:44.845","Goal Setting Dashboard","PersonalAnalytics.vshost"
"756","2017-03-15 15:08:03.146","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"757","2017-03-15 15:09:10.111","Goal Setting Dashboard","PersonalAnalytics.vshost"
"758","2017-03-15 15:09:20.207","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"759","2017-03-15 15:10:32.038","Goal Setting Dashboard","PersonalAnalytics.vshost"
"760","2017-03-15 15:10:38.346","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"761","2017-03-15 15:10:40.086","Goal Setting Dashboard","PersonalAnalytics.vshost"
"762","2017-03-15 15:10:41.948","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"763","2017-03-15 15:11:08.904","Goal Setting Dashboard","PersonalAnalytics.vshost"
"764","2017-03-15 15:11:19.981","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"765","2017-03-15 15:12:04.803","Goal Setting Dashboard","PersonalAnalytics.vshost"
"766","2017-03-15 15:13:25.895","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
"767","2017-03-15 15:13:54.939","Goal Setting Dashboard","PersonalAnalytics.vshost"
"768","2017-03-15 15:14:19.373","AM.PA.MonitoringTool (Running) - Microsoft Visual Studio","devenv"
